sim-max_money-2,46,6
sim-max_money-2,41,6
sim-balance-0,28,27
sim-balance-0,37,28
sim-max_actions-1,66,11
sim-balance-0,59,33
sim-balance-0,45,27
sim-max_money-2,34,6
sim-balance-0,54,27
sim-balance-0,57,39
sim-balance-0,53,33
sim-max_money-2,66,6
sim-max_actions-1,34,6
sim-max_money-2,39,6
sim-balance-0,54,27
sim-max_money-2,59,12
sim-balance-0,27,27
sim-max_money-2,51,12
sim-max_money-2,34,5
sim-balance-0,52,33
sim-balance-0,40,27
sim-balance-0,65,33
sim-max_money-2,47,12
sim-balance-0,33,27
sim-max_money-2,47,12
sim-max_money-2,41,6
sim-max_money-2,59,11
sim-max_actions-1,31,2
sim-balance-0,60,33
sim-balance-0,40,33
sim-max_money-2,34,6
sim-balance-0,66,33
sim-max_actions-1,65,6
sim-max_money-2,53,6
sim-max_money-2,60,11
sim-max_money-2,53,12
sim-balance-0,48,27
sim-max_money-2,42,5
sim-max_actions-1,29,6
sim-balance-0,52,33
sim-max_actions-1,48,7
sim-max_money-2,48,5
sim-balance-0,45,27
sim-max_actions-1,27,6
sim-max_actions-1,58,2
sim-balance-0,46,33
sim-max_money-2,41,12
sim-max_money-2,36,6
sim-max_money-2,66,12
sim-max_money-2,60,11
sim-max_money-2,59,11
sim-max_money-2,59,10
sim-balance-0,47,33
sim-max_money-2,54,12
sim-max_money-2,34,6
sim-balance-0,42,27
sim-balance-0,35,27
sim-max_money-2,40,6
sim-balance-0,47,27
sim-max_money-2,53,6
sim-balance-0,48,27
sim-max_actions-1,33,12
sim-max_money-2,34,12
sim-max_actions-1,33,6
sim-max_money-2,34,6
sim-balance-0,48,27
sim-balance-0,48,27
sim-balance-0,65,33
sim-balance-0,29,22
sim-max_money-2,29,6
sim-max_money-2,40,6
sim-max_money-2,59,4
sim-max_money-2,41,6
sim-max_money-2,48,6
sim-balance-0,41,27
sim-balance-0,28,27
sim-max_money-2,46,6
sim-max_money-2,58,12
sim-max_money-2,65,6
sim-max_money-2,48,6
sim-max_actions-1,39,6
sim-max_money-2,53,6
sim-max_money-2,60,6
sim-balance-0,46,33
sim-balance-0,48,27
sim-max_money-2,52,6
sim-balance-0,53,33
sim-balance-0,65,33
sim-max_money-2,41,6
sim-max_money-2,66,18
sim-max_money-2,71,24
sim-max_money-2,46,6
sim-max_actions-1,47,12
sim-max_money-2,66,12
sim-max_money-2,39,6
sim-balance-0,46,33
sim-max_money-2,60,6
sim-balance-0,40,33
sim-balance-0,39,27
sim-balance-0,41,27
sim-max_money-2,42,12
sim-max_money-2,54,6
sim-balance-0,54,33
sim-max_money-2,53,6
sim-max_money-2,53,5
sim-max_money-2,48,6
sim-max_money-2,53,6
sim-balance-0,60,33
sim-balance-0,65,33
sim-max_money-2,58,6
sim-balance-0,17,15
sim-balance-0,39,33
sim-balance-0,30,15
sim-max_money-2,76,22
sim-max_money-2,48,4
sim-max_money-2,54,5
sim-max_money-2,33,6
sim-max_money-2,34,6
sim-max_money-2,52,17
sim-max_money-2,66,6
sim-balance-0,56,28
sim-balance-0,45,27
sim-balance-0,47,27
sim-balance-0,66,33
sim-balance-0,41,27
sim-balance-0,66,33
sim-max_money-2,60,12
sim-max_money-2,58,12
sim-balance-0,52,27
