simulation 0,122
simulation 2,70
simulation 1,75
simulation 0,64
simulation 0,100
simulation 2,110
simulation 0,53
simulation 0,54
simulation 1,60
simulation 0,44
simulation 1,50
simulation 0,76
simulation 1,49
simulation 0,108
simulation 2,74
simulation 2,31
simulation 0,77
simulation 2,112
simulation 0,105
simulation 0,116
simulation 1,114
simulation 0,92
simulation 2,74
simulation 1,93
simulation 0,134
simulation 2,41
simulation 0,70
simulation 2,102
simulation 2,171
simulation 0,55
simulation 0,133
simulation 1,76
simulation 0,64
simulation 0,69
simulation 1,75
simulation 2,73
simulation 0,27
simulation 2,88
simulation 1,117
simulation 2,51
simulation 1,97
simulation 1,152
simulation 0,64
simulation 2,66
simulation 2,35
simulation 2,52
simulation 1,108
simulation 1,159
simulation 1,114
simulation 0,142
simulation 2,32
simulation 2,106
simulation 0,60
simulation 1,80
simulation 1,99
simulation 0,55
simulation 1,69
simulation 2,77
simulation 2,43
simulation 0,93
simulation 2,91
simulation 1,105
simulation 1,78
simulation 0,45
simulation 2,49
simulation 0,167
simulation 0,91
simulation 1,125
simulation 2,57
simulation 1,33
simulation 1,112
simulation 2,58
simulation 0,110
simulation 1,104
simulation 1,81
simulation 2,122
simulation 2,50
simulation 1,78
simulation 1,96
simulation 2,123
simulation 0,78
simulation 1,98
simulation 1,59
simulation 2,81
simulation 2,116
simulation 2,44
simulation 0,137
simulation 0,47
simulation 2,78
simulation 2,65
simulation 1,75
simulation 2,150
simulation 2,77
simulation 2,159
simulation 2,115
simulation 2,108
simulation 0,143
simulation 0,57
simulation 0,192
simulation 0,111
simulation 2,105
simulation 2,76
simulation 2,71
simulation 0,40
simulation 2,112
simulation 1,78
simulation 0,109
simulation 0,135
simulation 2,52
simulation 0,62
simulation 0,66
simulation 0,92
simulation 2,123
simulation 0,169
simulation 0,78
simulation 2,50
simulation 1,55
simulation 0,107
simulation 1,75
simulation 1,110
simulation 1,75
simulation 2,118
simulation 0,70
simulation 1,105
simulation 0,78
simulation 2,46
simulation 2,127
simulation 1,98
simulation 1,47
simulation 2,114
simulation 2,94
simulation 2,80
simulation 1,98
simulation 1,130
simulation 1,68
simulation 1,90
